加工时间,加工顺序,工件编号,"小头壁厚5
±0.03",Unnamed: 4,内孔Φ39.4+0.02,斜坡壁厚                       2.5±0.03,Unnamed: 7,大端壁厚              2.45±0.03,Unnamed: 9,大端内孔Φ69.84 0,Unnamed: 11,总长352±0.3,中部跳动≤0.8,Q处跳动≤0.6
2021.5.25,25.0,210850.0,4.99,4.99,39.44,2.51,2.51,2.46,2.47,69.85,69.87,352.02,0.32082990965080604,0.242964525445745
2021.5.25,26.0,210851.0,5.01,5.02,39.43,2.53,2.51,2.43,2.45,69.85,69.84,351.97,0.3284612235771586,0.24799641072416137
2021.5.25,27.0,210852.0,4.99,5.01,39.44,2.53,2.51,2.44,2.46,69.89,69.87,352.0,0.33130873435864583,0.24812660374806048
2021.5.25,28.0,210853.0,4.99,5.02,39.43,2.52,2.52,2.46,2.47,69.86,69.87,351.98,0.31984236308266034,0.24355486118580172
2021.5.25,29.0,210854.0,4.99,5.01,39.43,2.5,2.52,2.42,2.46,69.85,69.87,351.97,0.3337279841051989,0.2470148519902466
2021.5.25,30.0,210855.0,4.98,5.02,39.43,2.52,2.53,2.46,2.47,69.86,69.84,352.06,0.3167320939385607,0.24272824765158696
2021.5.25,31.0,210856.0,5.02,4.99,39.43,2.51,2.52,2.47,2.46,69.84,69.87,351.97,0.32598087793026775,0.2459174215858535
2021.5.25,32.0,210857.0,5.04,5.03,39.45,2.51,2.5,2.45,2.45,69.86,69.87,351.97,0.3158792671964961,0.23782493413141384
2021.5.25,33.0,210858.0,5.03,5.02,39.43,2.53,2.51,2.46,2.47,69.87,69.85,352.02,0.32277263231771686,0.24321983123013857
2021.5.25,34.0,210859.0,4.99,4.98,39.45,2.52,2.51,2.47,2.46,69.85,69.87,351.97,0.3254871630828003,0.2437095692718457
2021.5.25,35.0,210860.0,5.02,5.01,39.45,2.51,2.5,2.45,2.45,69.85,69.87,351.98,0.3218987481584889,0.24425331292473215
2021.5.25,36.0,210901.0,5.01,5.01,39.45,2.51,2.52,2.47,2.48,69.87,69.85,352.02,0.32359907123538667,0.23940461060469503
2021.5.25,37.0,210902.0,5.01,5.0,39.45,2.52,2.51,2.47,2.46,69.85,69.87,352.04,0.3181623407516103,0.23988727266673435
2021.5.25,38.0,210903.0,5.0,5.01,39.45,2.52,2.51,2.45,2.45,69.85,69.87,352.04,0.31293573077163106,0.2382699496754841
2021.5.25,39.0,210904.0,5.01,4.99,39.43,2.51,2.52,2.46,2.47,69.86,69.85,351.97,0.3205117883182899,0.2400328005669788
2021.5.25,40.0,210905.0,5.01,4.99,39.44,2.51,2.52,2.45,2.46,69.85,69.87,351.99,0.32640216442445036,0.24824847044179335
2021.5.25,41.0,210906.0,5.01,5.01,39.43,2.53,2.51,2.45,2.45,69.86,69.84,351.98,0.32508488092816956,0.24289274159041144
2021.5.25,42.0,210907.0,5.01,4.99,39.43,2.51,2.52,2.47,2.46,69.88,69.84,352.01,0.3194497510468101,0.2404642319161503
2021.5.25,43.0,210908.0,5.0,5.02,39.44,2.52,2.51,2.45,2.44,69.85,69.88,352.02,0.32051524599321396,0.24023440958128434
2021.5.25,44.0,210909.0,5.02,5.01,39.42,2.52,2.53,2.46,2.46,69.85,69.88,352.01,0.3147063102788814,0.24048013071933533
2021.5.25,45.0,210910.0,4.99,4.98,39.43,2.5,2.52,2.46,2.47,69.86,69.87,351.99,0.328665514924748,0.2496365996381023
2021.5.25,46.0,210911.0,4.99,5.01,39.44,2.51,2.52,2.45,2.47,69.86,69.87,352.09,0.32143285148867673,0.24535789808568761
2021.5.25,47.0,210912.0,5.01,5.0,39.44,2.51,2.52,2.46,2.47,69.88,69.84,351.99,0.3246001941174634,0.24460961820287114
2021.5.25,48.0,210913.0,5.0,4.99,39.43,2.51,2.51,2.47,2.46,69.84,69.87,351.98,0.3283096252736201,0.24726786323699207
2021.5.25,49.0,210914.0,5.01,5.02,39.42,2.53,2.51,2.45,2.45,69.85,69.84,351.98,0.3320664545317327,0.2495742413373998
2021.5.25,50.0,210915.0,5.0,4.99,39.43,2.51,2.52,2.47,2.46,69.86,69.85,352.04,0.3235241954023717,0.24483601375940467
2021.5.25,51.0,210916.0,5.0,4.99,39.43,2.52,2.53,2.44,2.46,69.88,69.85,351.98,0.3255612873752999,0.24716947348143714
2021.5.25,52.0,210917.0,5.01,5.02,39.44,2.5,2.52,2.46,2.47,69.85,69.87,351.96,0.33041436300016686,0.24601807460417138
2021.5.25,53.0,210918.0,4.99,5.02,39.43,2.51,2.52,2.47,2.46,69.88,69.86,352.0,0.3280263596076764,0.2477156980511786
2021.5.25,54.0,210919.0,4.99,5.01,39.44,2.5,2.51,2.45,2.45,69.87,69.85,351.98,0.33046421370067736,0.24425105979694675
2021.5.25,55.0,210920.0,4.99,5.01,39.43,2.51,2.52,2.48,2.47,69.85,69.87,352.06,0.3190818397773586,0.24129842422660708
2021.5.25,56.0,210940.0,5.01,5.0,39.43,2.5,2.52,2.46,2.47,69.86,69.84,352.01,0.3319764981838112,0.24489412117476067
2021.5.25,57.0,210941.0,5.0,4.99,39.43,2.51,2.52,2.46,2.46,69.85,69.87,351.98,0.32848525633856446,0.24721971238915533
2021.5.25,58.0,210942.0,4.99,5.02,39.44,2.52,2.51,2.45,2.44,69.86,69.84,351.96,0.3165073467840398,0.23882916853412525
2021.5.25,59.0,210943.0,5.01,4.98,39.43,2.51,2.52,2.47,2.46,69.87,69.84,352.02,0.32308402811151676,0.24791974840855996
2021.5.25,60.0,210944.0,5.01,5.01,39.45,2.5,2.52,2.43,2.46,69.88,69.85,352.06,0.3181610907137111,0.23917407070822735
2021.5.25,61.0,210945.0,4.99,5.01,39.43,2.5,2.52,2.46,2.45,69.85,69.86,352.03,0.32910312938965464,0.24913080542577096
2021.5.25,62.0,210946.0,4.99,5.01,39.45,2.51,2.5,2.47,2.46,69.84,69.87,351.97,0.3229855215462746,0.24281964599819683
2021.5.25,63.0,210947.0,4.99,5.0,39.44,2.53,2.51,2.45,2.45,69.86,69.87,352.03,0.31985498664683454,0.24022549609402702
2021.5.25,64.0,210948.0,5.01,5.01,39.43,2.52,2.5,2.47,2.46,69.86,69.84,351.97,0.3208868969070546,0.24050862294405406
2021.5.25,65.0,210949.0,5.01,4.99,39.45,2.5,2.52,2.46,2.47,69.87,69.84,351.98,0.323168874952699,0.24624303019538277
2021.5.26,1.0,210950.0,5.0,4.99,39.43,2.51,2.52,2.46,2.47,69.85,69.87,352.06,0.3308269607084282,0.24692584996600062
2021.5.26,2.0,210951.0,5.01,5.02,39.43,2.51,2.51,2.43,2.45,69.85,69.88,351.97,0.3196666887557258,0.2410214189313801
2021.5.26,3.0,210952.0,5.01,5.01,39.45,2.5,2.51,2.44,2.46,69.86,69.87,352.02,0.32389060199463476,0.2447778945541392
2021.5.26,4.0,210953.0,4.99,5.02,39.43,2.52,2.52,2.46,2.47,69.86,69.87,351.99,0.31892991442476887,0.24270938101897221
2021.5.26,5.0,210954.0,4.99,5.01,39.42,2.5,2.52,2.42,2.46,69.85,69.87,351.97,0.31776034331315234,0.24469601182362372
2021.5.26,6.0,210955.0,4.98,5.02,39.43,2.52,2.53,2.46,2.47,69.87,69.84,352.06,0.314781326276254,0.24171068052009348
2021.5.26,7.0,210956.0,5.02,4.99,39.44,2.5,2.52,2.47,2.46,69.84,69.87,351.97,0.32095605711994235,0.24309416388481986
2021.5.26,8.0,210957.0,5.04,5.03,39.44,2.51,2.52,2.45,2.45,69.86,69.87,351.98,0.32681659913107586,0.24352834669993165
2021.5.26,9.0,210958.0,5.03,5.02,39.43,2.53,2.51,2.46,2.47,69.87,69.85,352.06,0.3195725451138496,0.23811193415461337
2021.5.26,10.0,210959.0,5.01,4.98,39.45,2.52,2.51,2.47,2.46,69.85,69.87,351.99,0.3180196479820307,0.24522886492406126
2021.5.26,11.0,210960.0,5.02,5.01,39.45,2.51,2.52,2.45,2.45,69.84,69.87,352.04,0.3153030143428912,0.23948330909846963
2021.5.26,12.0,210921.0,5.03,4.99,39.43,2.52,2.51,2.47,2.46,69.86,69.84,351.98,0.31824555510894276,0.24524765412865798
2021.5.26,13.0,210922.0,5.02,4.99,39.43,2.52,2.52,2.43,2.45,69.85,69.86,351.98,0.32398204957462423,0.24352344392284397
2021.5.26,14.0,210923.0,5.01,4.99,39.45,2.5,2.52,2.46,2.47,69.87,69.84,352.05,0.3152545172582623,0.23802973972256575
2021.5.26,15.0,210924.0,5.01,4.99,39.43,2.51,2.5,2.45,2.46,69.85,69.87,351.97,0.3258936806489889,0.24378762011816038
2021.5.26,16.0,210925.0,5.03,5.02,39.42,2.52,2.51,2.45,2.45,69.85,69.84,351.96,0.3202328866483251,0.24401319828673745
2021.5.26,17.0,210926.0,5.01,4.98,39.43,2.51,2.5,2.47,2.46,69.85,69.84,351.98,0.32456648159452006,0.24413111557975758
2021.5.26,18.0,210927.0,5.0,5.03,39.45,2.51,2.52,2.46,2.46,69.88,69.84,352.05,0.3230845365582408,0.24102419640017275
2021.5.26,19.0,210928.0,5.02,5.02,39.45,2.5,2.52,2.46,2.47,69.84,69.87,351.98,0.3308267670687059,0.24695075135020925
2021.5.26,20.0,210929.0,5.01,5.02,39.43,2.52,2.53,2.48,2.46,69.86,69.88,351.97,0.3237671839217731,0.25122011868935046
2021.5.26,21.0,210930.0,5.0,5.01,39.45,2.5,2.52,2.46,2.47,69.87,69.85,351.99,0.3176834374345842,0.2379455962127291
2021.5.26,22.0,210931.0,5.01,4.99,39.44,2.51,2.52,2.46,2.47,69.85,69.87,352.04,0.3134176493227651,0.23987742544215784
2021.5.26,23.0,210932.0,5.01,5.02,39.44,2.52,2.51,2.43,2.45,69.87,69.84,351.98,0.3197395694140893,0.23963888697273078
2021.5.26,24.0,210933.0,4.99,5.02,39.43,2.53,2.51,2.44,2.45,69.84,69.87,352.0,0.3206740255906086,0.23912084658621113
2021.5.26,25.0,210934.0,5.0,5.02,39.42,2.52,2.51,2.46,2.45,69.85,69.84,351.99,0.32213805964936076,0.24107993753640908
2021.5.26,26.0,210935.0,5.01,4.99,39.43,2.51,2.5,2.47,2.46,69.87,69.85,351.96,0.3298341922731461,0.24941255143238147
2021.5.26,27.0,210936.0,4.99,5.01,39.44,2.51,2.5,2.46,2.47,69.88,69.84,351.98,0.32421653270498707,0.24768705857439882
2021.5.26,28.0,210937.0,5.0,5.01,39.44,2.5,2.51,2.47,2.46,69.85,69.87,352.02,0.3202482837401894,0.24132441267877242
2021.5.26,29.0,210938.0,4.99,5.01,39.44,2.51,2.51,2.45,2.45,69.86,69.85,351.99,0.31949410706367304,0.24015265531741836
2021.5.26,30.0,210939.0,5.01,5.01,39.45,2.51,2.52,2.48,2.46,69.87,69.84,352.01,0.3296396141069263,0.24244319653834118
